NBA_name,NBA_College,NBA_Pk,NBA_Rk,NBA_Tm,NBA_Tm_url,NBA_Yrs,NBA_G,NBA_MP,NBA_PTS,NBA_AST,NBA_FG,NBA_THREE_P,NBA_FT,NBA_MP_PG,NBA_PTS_PG,NBA_TRB_PG,NBA_AST_PG,NBA_WS,NBA_WS_forty_eight,NBA_BPM,NBA_VORP
Andrew Wiggins,Kansas,1,1,CLE,https://www.basketball-reference.com/teams/CLE/draft.html,6,451,16136,8891,1056,0.441,0.332,0.733,35.8,19.7,4.3,2.3,15.0,0.045,-1.9,0.3
Jabari Parker,Duke,2,2,MIL,https://www.basketball-reference.com/teams/MIL/draft.html,6,280,8193,4208,585,0.492,0.324,0.739,29.3,15.0,5.8,2.1,12.8,0.075,-0.9,2.3
Joel Embiid,Kansas,3,3,PHI,https://www.basketball-reference.com/teams/PHI/draft.html,4,201,6154,4834,633,0.479,0.321,0.794,30.6,24.0,11.5,3.1,22.2,0.173,4.4,10.0
Aaron Gordon,Arizona,4,4,ORL,https://www.basketball-reference.com/teams/ORL/draft.html,6,395,11274,5029,925,0.448,0.320,0.701,28.5,12.7,6.4,2.3,21.1,0.090,-0.1,5.4
Dante Exum,,5,5,UTA,https://www.basketball-reference.com/teams/UTA/draft.html,5,239,4429,1366,502,0.407,0.308,0.766,18.5,5.7,1.8,2.1,3.1,0.034,-3.3,-1.5
Marcus Smart,Oklahoma State,6,6,BOS,https://www.basketball-reference.com/teams/BOS/draft.html,6,390,11266,3806,1582,0.373,0.318,0.770,28.9,9.8,3.6,4.1,20.1,0.086,-0.3,4.9
Julius Randle,Kentucky,7,7,LAL,https://www.basketball-reference.com/teams/LAL/draft.html,6,370,10777,5917,1039,0.492,0.290,0.722,29.1,16.0,9.0,2.8,20.0,0.089,-0.5,4.0
Nik Stauskas,Michigan,8,8,SAC,https://www.basketball-reference.com/teams/SAC/draft.html,5,335,6662,2272,513,0.389,0.353,0.814,19.9,6.8,2.1,1.5,3.8,0.028,-3.0,-1.7
Noah Vonleh,Indiana,9,9,CHH,https://www.basketball-reference.com/teams/CHA/draft.html,6,331,5658,1655,255,0.460,0.310,0.692,17.1,5.0,5.3,0.8,9.3,0.079,-2.3,-0.5
Elfrid Payton,LA-Lafayette,10,10,PHI,https://www.basketball-reference.com/teams/PHI/draft.html,6,382,11208,4179,2527,0.451,0.292,0.623,29.3,10.9,4.4,6.6,14.5,0.062,-0.6,4.1
