page no.,title,url,details,post date
1,時富金融下季推虛幣交易平台  攻200萬Y世代 永久免佣招徠,http://startupbeat.hkej.com/?p=59379,時富金融（00510）最近開設從事數字貨幣交易服務的鯰魚金融科技，並計劃於今年第三季推出交易平台，更永久免佣金。該公司執行董事兼行政總裁陳志明表示，新平台短期目標達到20萬名登記用戶，冀望每天有20億元的交易量。,"Posted May 23, 2018"
1,馬雲在港被「捕獲」用支付寶買報紙 (凌通),http://startupbeat.hkej.com/?p=59357,阿里巴巴主席馬雲上周五獲香港大學頒授名譽博士學位，他當日除了出席典禮，微服出巡時更被網民「野生捕獲」，在香港銅鑼灣一家便利店買報紙，當時他準備試用支付寶付款，這位網民在微博曬出照片後，支付寶的官方微博亦有轉載。,"Posted May 21, 2018"
1,螞蟻金服參與融資禁買對手股份,http://startupbeat.hkej.com/?p=59350,《華爾街日報》報道，阿里巴巴關聯公司螞蟻金服在最新一輪100億美元（約780億港元）融資中，加入極罕見的辛辣條款，要求參股螞蟻金服的投資者，必須同意不投資或增加在包括騰訊（00700）等競爭對手的股份。,"Posted May 21, 2018"
1,Neat冀變身虛擬銀行 助小企遙距開戶 打破傳統壟斷,http://startupbeat.hkej.com/?p=59320,不少公司抱怨向銀行申請開戶時，往往因各種理由被拒諸門外。為用戶提供遙距開戶、支付及轉賬服務的Neat透露，有意向金管局申請「虛擬銀行」牌照，挑戰傳統銀行的壟斷地位。,"Posted May 21, 2018"
1,螞蟻金服管理資產2.75萬億  用戶逾6.2億 全球最大金融平台,http://startupbeat.hkej.com/?p=59303,據英國《金融時報》引述一份螞蟻金服最新的100億美元融資文件指出，該公司目前管理2.2萬億元（人民幣．下同，約2.75萬億港元）資產，已是現時全球最大的消費者財富管理平台。,"Posted May 18, 2018"
1,螞蟻金服拒評再融資780億,http://startupbeat.hkej.com/?p=59039,彭博引述消息人士指出，阿里巴巴關聯公司螞蟻金服數天內將完成一筆最少100億美元（780億港元）的融資，屆時估值會提升至約1500億美元（1.17萬億港元）。不過，螞蟻金服發言人對外界傳言則不予置評。,"Posted May 12, 2018"
1,Nvidia：加密幣採礦熱降溫,http://startupbeat.hkej.com/?p=59034,美國圖像晶片開發商輝達（Nvidia）周四表示，加密貨幣採礦熱正在降溫，預計這方面的晶片需求將大減。輝達首度把跟加密貨幣採礦相關的晶片銷售拆開公布，上季營業額錄2.89億元，佔整體約9%，但料本季會回落至1億元。,"Posted May 12, 2018"
1,華為新手機預載 比特幣錢包App,http://startupbeat.hkej.com/?p=59028,華為手機出貨量已達市佔率11.8%穩佔全球第三，該公司將在其App Gallery中，提供BTC.com的比特幣錢包，成為華為首款加密貨幣應用程式。該錢包亦將預裝到所有新的華為和榮耀手機，未來幾個月也會在舊款裝置上推出。,"Posted May 12, 2018"
1,李澤楷：Viu處增長期暫無錢賺  不可只食老本 冀5年內錄正現金流,http://startupbeat.hkej.com/?p=58998,今年電盈獲得俄羅斯世界盃的播放權，股東會上有小股東問李澤楷會否親身到俄羅斯觀賞賽事時，他笑言世界盃舉行期間不會有時間到當地享受盛事，但會與大家一樣留在家中「舒舒服服睇比賽」。,"Posted May 11, 2018"
1,「錢方好近」甘做電子支付媒人 港青回歸主場 覬覦交易大數據,http://startupbeat.hkej.com/?p=58921,「八十後」港青李英豪創立的內地大型聚合支付平台「錢方好近」（QFPay），協助微信支付與支付寶等連接本地商戶，現已晉身內地重量級金融科技企業，迄今處理的交易額超過2000億元人民幣。,"Posted May 10, 2018"
2,數碼渠道吸新客 改善成本效益率,http://startupbeat.hkej.com/?p=58796,「新加坡及香港的旅程只是剛剛開始」高博德表示，星展集團早於2013年已制訂數碼化改革的發展策略，競爭對手已非銀行，反而是科網機構如阿里巴巴、亞馬遜、Google等，令該集團現時可以做到舊式銀行不能做到的工作。,"Posted May 7, 2018"
2,滴滴Visa再出招推車費回贈,http://startupbeat.hkej.com/?p=58778,Didi上月已連續3個星期五推出乘車優惠，每名使用信用卡繳付車資的客戶，最多可獲共600元車費優惠，其中5月4日更夥拍Visa推出「Visa優先的士體驗日」推廣活動；Visa稱活動旨在促使香港交通業的電子支付普及化。,"Posted May 7, 2018"
2,利用科技通往財務自由 (畢老林),http://startupbeat.hkej.com/?p=58524,科技為投資帶來各種便利乃鐵一般的事實，但科技並非神奇減肥藥，吞下數顆便能消脂。想瘦身，梗係要做運動同節食。,"Posted April 30, 2018"
2,滙款平台看淡比特幣 交易有局限 恐被新秀取代,http://startupbeat.hkej.com/?p=58508,Bitspark創辦人George Harrap接受本報專訪時透露，其公司現已轉用可與法定貨幣掛鈎的BitShares（BTS），更預言比特幣將被新的加密貨幣取代。,"Posted April 30, 2018"
2,黑客閃盜120萬以太幣 騎劫DNS 電子錢包用戶中招,http://startupbeat.hkej.com/?p=58372,有黑客針對網絡架構的弱點，周二涉嫌騎劫亞馬遜DNS，把電子錢包服務商MyEtherWallet的用戶，引導至黑客控制的俄羅斯伺服器，從中騙取215個以太幣（Ether），價值近120萬港元。,"Posted April 26, 2018"
2,倫敦為金融創新不斷求進 (鄧淑明博士),http://startupbeat.hkej.com/?p=58224,要吸引金融科技專才，成功因素除了資金之外，政策和環境也非常重要，全球沙盒的設立有助於倫敦鞏固金融科技樞紐的位置。我們香港有的是財力、資源和經驗，所以亦應盡快化被動為主動，積極求進，以免錯失先機。,"Posted April 23, 2018"
2,滴滴搶客 補貼600元搭的士,http://startupbeat.hkej.com/?p=58131,滴滴出行旗下召車應用程式DiDi宣布，從本周五（20日）起連續3個星期五推出優惠，使用DiDi應用程式電召的士，並使用國際信用卡付款，每程最多享有100元優惠，每日最多使用優惠兩次。,"Posted April 19, 2018"
2,金融業AI仍如幼兒學步 (鄧淑明博士),http://startupbeat.hkej.com/?p=58118,調查也詢問銀行會否因AI應用而減省人手，回覆的7間銀行中，6間都說預期會減省兩成人手。這和歐美日的大行不久前的說法頗有距離。去年底，當時的德意志銀行行政總裁揚言，因AI應用會削減近10萬員工中的一半。,"Posted April 19, 2018"
