	Rank	City	Province belongs to	AQI	Air Quality Level	PM 2.5	PM 10
0	1	Sanya	Hainan	22	Excellent	10	22
1	2	Lijiang	Yunnan	24	Excellent	12	14
2	3	Dali	 Yunnan	24	Excellent	15	18
3	4	Changsha	Hunan	25	Excellent	17	10
4	5	Haikou	Hainan	28	Excellent	15	28
5	6	Qingdao	Shandong	29	Excellent	19	29
6	7	Kunming	Yunnan	33	Excellent	23	30
7	8	Lhasa	Tibet	34	Excellent	15	34
8	9	Dalian	Liaoning 	43	Excellent	20	43
9	10	Guangzhou	Guangdong	44	Excellent	30	44
10	11	Guiyang	Guizhou	45	Excellent	31	44
11	12	Zhangjiakou	Hebei	49	Excellent	31	49
12	13	Shenzhen	Guangdong	55	Good	39	57
13	14	Zhangjiajie	 Hunan	63	Good	45	51
14	15	Fuzhou	Fujian	65	Good	47	51
15	16	Nanning	Guangxi	68	Good	49	57
16	17	Guilin	Guangxi	69	Good	50	55
17	18	Beijing	Beijing	75	Good	55	66
18	19	Xining	Qinghai	75	Good	55	74
19	20	Chongqing	Chongqing	80	Good	59	80
20	21	Lanzhou	Gansu	82	Good	60	95
21	22	Yangzhou	Jiangsu	84	Good	62	78
22	23	Changchun	Jilin	85	Good	63	64
23	24	Yinchuan	Ningxia	89	Good	66	91
24	25	Xiamen	Fujian	90	Good	 67	73
25	26	Wuhan	Hubei	97	Good	72	77
26	27	Shanghai	Shanghai	97	Good	72	41
27	28	Shijiazhuang	Hebei	98	Good	73	121
28	29	Suzhou	Jiangsu	104	Lightly Polluted	78	88
29	30	Hangzhou	 Zhejiang	108	Lightly Polluted	 81	116
30	31	Shengyang	Liaoning	109	Lightly Polluted	89	112
31	32	Hohhot	Inner Mongolia	112	Lightly Polluted	84	93
32	33	Jinan	Shandong	119	Lightly Polluted	90	125
33	34	Datong	Shanxi	120	Lightly Polluted	91	172
34	35	Chengdu	Sichuan	144	Lightly Polluted	110	125
35	36	Harbin	Heilongjiang	147	Lightly Polluted	112	97
36	37	Nanjing	 Jiangsu	153	Moderately Polluted	117	144
37	38	Baotou	Inner Mongolia	155	Moderately Polluted	118	146
38	39	Tianjin	Tianjin	158	Moderately Polluted	120	125
39	40	Taiyuan	Shanxi	172	Moderately Polluted	130	182
40	41	Luoyang	Henan	179	Moderately Polluted	135	166
41	42	Urumqi	Xinjiang	180	Moderately Polluted	136	138
42	43	Hefei	Anhui	189	Moderately Polluted	142	100
43	44	Zhengzhou	Henan	200	Moderately Polluted	150	184
44	45	Xi'an	Shaanxi	214	Heavely Polluted	164	173
