	page #	title	url	details	post date
0	1	Bitcoin爆，STO代之 (老占)	http://startupbeat.hkej.com/?p=68582	那麼與資產掛鈎的STO有什麼優勢？STO簡單來說就是代表證券型代幣發行，必須與資產掛鈎，例如石油、現金、股份、不動產等，比特幣傳道者認為只要夠多人把比特幣視為數碼黃金，它就仍有驚人的價值。	Posted January 23, 2019
1	1	貿易通傳環聯事件後eKYC查詢增	http://startupbeat.hkej.com/?p=68486	繼早前儲值支付工具（SVF）發牌後，虛擬銀行亦將於本季發牌。鄭俊聰提到，金融機構希望發展遙距開戶服務，必須先解決如何就透過拍攝及上載身份證明文件來認證身份，貿易通提供的身份證明文件認證，正可回應業界的需求。	Posted January 21, 2019
2	1	加密紀錄解決互信問題 港企建區塊鏈貿融平台	http://startupbeat.hkej.com/?p=68465	本港初創CryptoBLK（區塊科技）聯合創辦人兼行政總裁王世松，嘗試把區塊鏈引入企業應用領域，並成功爭取「最保守」的傳統金融機構支持，營建區塊鏈貿易金融平台Voltron。	Posted January 21, 2019
3	1	儲值支付商加入申虛銀牌	http://startupbeat.hkej.com/?p=68411	金管局季內會發出首批虛擬銀行牌照，安永亞太區金融科技高級經理恩馬克（Marc Entwistle）表示，安永與多家申請者有溝通，根據其了解，申請人之中有來自香港、內地和金融科技公司，部分更已有儲值支付工具牌照。	Posted January 18, 2019
4	1	大新推遙距開戶 定存4厘吸客  最快10分鐘啟動 可跨行轉賬	http://startupbeat.hkej.com/?p=68405	大新銀行（02356）繼去年推出遙距貸款及信用卡申請後，再添加遙距開立存款戶口服務，該行產品部總經理及主管鄧子健指出，客戶最快約10分鐘可完成開戶，並即時啟動戶口，轉入資金及馬上作出跨銀行轉賬。	Posted January 18, 2019
5	1	港產初創助小企融資周轉 (FundPark 孫慧來)	http://startupbeat.hkej.com/?p=68384	港產初創FundPark看準市場商機，提供網上貿易融資平台，讓企業毋須任何物業抵押，即能以訂單及應收款項賬單作融資。《信報》StartupBeat請來其聯合創辦人及行政總裁孫慧來，分享如何活用大數據，分析買家、供應商的信貸評分。	Posted January 18, 2019
6	1	銀行開放API　TNG：顛覆行業	http://startupbeat.hkej.com/?p=68257	TNG創始人兼主席江慶恩出席亞洲金融論壇研討會時稱，新世代客戶雖然會有興趣使用金融科技初創企業提供的服務，但初創企業今日仍難以動搖傳統銀行多年來建立的客戶信任，銀行的弱點則在於對科技發展的反應不及初創迅速。	Posted January 15, 2019
7	1	14銀行首階段開放280個API	http://startupbeat.hkej.com/?p=68209	金管局正推動銀行業界開放應用程式介面（Open API），東亞（00023）、創興（01111）、大新（02356）、花旗和中信銀行國際等13家銀行，與銀通平台APIX合作推出首階段共250個API開放，現時使用APIX平台暫不收費。	Posted January 14, 2019
8	1	滙豐梁兆基預言虛銀將邁新時代	http://startupbeat.hkej.com/?p=68143	金管局爭取本季內發出首批虛擬銀行牌照，滙豐銀行亞太區顧問梁兆基在論壇上表示，預期未來10至20年，本港銀行業將會有翻天覆地的變化，並會進入虛擬銀行的新時代，銀行業服務將會趨向非實體。	Posted January 11, 2019
9	1	港銀開放API勢掀減價戰 首階段本月落實 涉20行逾千產品	http://startupbeat.hkej.com/?p=67911	金管局推動本港銀行業開放應用程式（Open API），首階段將於本月落實，開放的API功能可供查閱產品及服務，例如存款及貸款資料。業界預期將令銀行的競爭加劇，不排除日後會出現價格戰或減價競爭。	Posted January 7, 2019
10	2	內地網購新政策 (方保僑)	http://startupbeat.hkej.com/?p=67900	自1月1日起，港人於淘寶購物只能採用支付寶、繳費靈及信用卡，八達通及銀通暫時無法用作支付淘寶費用。這也令公眾不禁懷疑，究竟由金管局發出的儲值支付工具牌照，除了在香港有認受性之外，在內地是否同樣也有認受性？	Posted January 7, 2019
11	2	EMQ助微信支付打通海外脈絡 建跨境專屬渠道 不與客戶爭生意	http://startupbeat.hkej.com/?p=67889	支付寶、微信支付、百度錢包等中國巨擘，爭相進軍跨境滙款服務領域。與其獨力硬闖，微信支付就選擇跨境支付初創EMQ，作為「走出去」的拍檔。	Posted January 7, 2019
12	2	維港投資注資ICE加密幣平台	http://startupbeat.hkej.com/?p=67870	紐約證券交易所母公司洲際交易所（ICE）旗下的加密貨幣交易平台Bakkt，完成首輪約1.83億美元（約14.3億港元）的融資，包括長和資深顧問李嘉誠旗下維港投資，以及騰訊大股東等共12名投資者參與。	Posted January 5, 2019
13	2	heals構建健康科技平台一條龍服務	http://startupbeat.hkej.com/?p=67674	現時市民前往求診，由輪候到其後的保險索償均耗時甚久，這觸發heals行政總裁陳秀荷與其夥伴，冀藉金融科技構建健康科技平台，提供由預約醫生、診症後保險索償申請，以至保存藥單等一站式服務，讓求診過程更便捷。	Posted December 31, 2018
14	2	想發達要靠P2P (老占)	http://startupbeat.hkej.com/?p=67621	P2P就是Person to Person的小額貸款公司，大陸的P2P公司則因為有互聯網土壤，加上二○一五年前李克強提出，要在九百六十萬平方公里土地上掀起「大眾創業、萬眾創新」，瞬間野蠻生長，一發不可收拾。	Posted December 28, 2018
