Rank,Country(or dependent territory),Population,% of world,Date,Source(official or UN)
1,China[b],"1,405,239,080",18.0%,9 Nov 2020,National population clock[3]
2,India[c],"1,369,434,247",17.5%,9 Nov 2020,National population clock[4]
3,United States[d],"330,617,844",4.22%,9 Nov 2020,National population clock[5]
4,Indonesia,"269,603,400",3.45%,1 Jul 2020,National annual projection[6]
5,Pakistan[e],"220,892,331",2.82%,1 Jul 2020,UN Projection[2]
6,Brazil,"212,311,986",2.71%,9 Nov 2020,National population clock[7]
7,Nigeria,"206,139,587",2.63%,1 Jul 2020,UN Projection[2]
8,Bangladesh,"169,615,266",2.17%,9 Nov 2020,National population clock[8]
9,Russia[f],"146,748,590",1.88%,1 Jan 2020,National annual estimate[9]
10,Mexico,"127,792,286",1.63%,1 Jul 2020,National annual projection[10]
11,Japan,"125,880,000",1.61%,1 Oct 2020,Monthly national estimate[11]
12,Philippines,"109,406,628",1.40%,9 Nov 2020,National population clock[12]
13,DR Congo,"101,935,800",1.30%,1 Jul 2020,National annual projection[13]
14,Egypt,"101,155,808",1.29%,9 Nov 2020,National population clock[14]
15,Ethiopia,"100,829,000",1.29%,1 Jul 2020,National annual projection[15]
16,Vietnam,"96,483,981",1.23%,1 Jul 2019,National annual estimate[16]
17,Iran,"83,933,996",1.07%,9 Nov 2020,National population clock[17]
18,Turkey,"83,154,997",1.06%,31 Dec 2019,National annual estimate[18]
19,Germany,"83,122,889",1.06%,30 Jun 2020,National quarterly estimate[19]
20,France[g],"67,146,000",0.858%,1 Oct 2020,Monthly national estimate[20]
21,United Kingdom[h],"66,796,807",0.854%,30 Jun 2019,National annual estimate[21]
22,Thailand,"66,574,242",0.851%,9 Nov 2020,National population clock[22]
23,Italy,"60,026,546",0.767%,30 Jun 2020,Monthly national estimate[23]
24,South Africa,"59,622,350",0.762%,1 Jul 2020,National annual estimate[24]
25,Tanzania[i],"57,637,628",0.737%,1 Jul 2020,National annual projection[25]
26,Myanmar,"54,817,919",0.700%,1 Jul 2020,National annual projection[26]
27,South Korea,"51,841,786",0.662%,1 Sep 2020,Monthly national estimate[27]
28,Colombia,"50,372,424",0.644%,30 Jun 2020,National annual projection[28]
29,Kenya,"47,564,296",0.608%,31 Aug 2019,2019 census result[29]
30,Spain,"47,329,981",0.605%,1 Jan 2020,National semi-annual estimate[30]
31,Argentina,"45,376,763",0.580%,1 Jul 2020,National annual projection[31]
32,Algeria,"43,900,000",0.561%,1 Jan 2020,National annual projection[32]
33,Sudan,"42,975,475",0.549%,9 Nov 2020,National population clock[33]
34,Ukraine[j],"41,723,998",0.533%,1 Sep 2020,Monthly national estimate[34]
35,Uganda,"41,583,600",0.531%,1 Jul 2020,National annual projection[35]
36,Iraq,"40,150,200",0.513%,1 Jul 2020,National annual projection[36]
37,Poland,"38,352,000",0.490%,31 Aug 2020,Monthly national estimate[37]
38,Canada,"38,237,597",0.489%,9 Nov 2020,National population clock[38]
39,Morocco[k],"36,069,813",0.461%,9 Nov 2020,National population clock[39]
40,Uzbekistan,"34,514,600",0.441%,9 Nov 2020,National population clock[40]
41,Saudi Arabia,"34,218,169",0.437%,1 Jul 2019,National annual estimate[41]
42,Afghanistan,"32,890,171",0.420%,1 Jul 2020,National annual estimate[42]
43,Malaysia,"32,705,770",0.418%,9 Nov 2020,National population clock[43]
44,Peru,"32,625,948",0.417%,1 Jul 2020,National annual projection[44]
45,Angola,"31,127,674",0.398%,30 Jun 2020,National annual projection[45]
46,Ghana,"30,955,202",0.396%,1 Jul 2020,National annual projection[46]
47,Mozambique,"30,066,648",0.384%,1 Jul 2020,National annual projection[47]
48,Nepal,"29,996,478",0.383%,1 Jul 2020,National annual projection[48]
49,Yemen,"29,825,968",0.381%,1 Jul 2020,UN Projection[2]
50,Venezuela,"28,435,943",0.363%,1 Jul 2020,UN Projection[2]
51,Ivory Coast,"26,453,542",0.338%,1 Jul 2020,National annual projection[49]
52,Madagascar,"26,251,309",0.335%,1 Jul 2020,National annual projection[50]
53,Australia,"25,694,467",0.328%,9 Nov 2020,National population clock[51]
54,North Korea,"25,550,000",0.326%,1 Jul 2020,National annual projection[52]
55,Cameroon,"24,348,251",0.311%,1 Jul 2019,National annual projection[53]
–,Taiwan[l],"23,568,378",0.301%,30 Sep 2020,Monthly national estimate[54]
56,Niger,"23,196,002",0.296%,1 Jul 2020,National annual projection[55]
57,Sri Lanka,"21,803,000",0.279%,1 Jul 2019,National annual estimate[56]
58,Burkina Faso,"21,510,181",0.275%,1 Jul 2020,National annual projection[57]
59,Mali,"20,250,833",0.259%,1 Jul 2020,UN Projection[58]
60,Chile,"19,458,310",0.249%,30 Jun 2020,National annual projection[59]
61,Romania,"19,317,984",0.247%,1 Jan 2020,National annual estimate[60]
62,Kazakhstan,"18,810,608",0.240%,9 Nov 2020,National population clock[61]
63,Malawi,"18,449,828",0.236%,1 Jul 2020,National annual projection[62]
64,Zambia,"17,885,422",0.229%,1 Jul 2020,National annual projection[63]
65,Ecuador,"17,606,120",0.225%,9 Nov 2020,National population clock[64]
66,Netherlands[m],"17,528,381",0.224%,9 Nov 2020,National population clock[65]
67,Syria,"17,500,657",0.224%,1 Jul 2020,UN Projection[2]
68,Guatemala,"16,858,333",0.215%,1 Jul 2020,National annual projection[66]
69,Senegal,"16,705,608",0.213%,1 Jul 2020,National annual projection[67]
70,Chad,"16,244,513",0.208%,1 Jul 2020,National annual projection[68]
71,Somalia[n],"15,893,219",0.203%,1 Jul 2020,UN Projection[2]
