	page #	title	url	details	post date
0	1	保險科企Coherent融資逾億	http://startupbeat.hkej.com/?p=95034	本地保險科技（InsurTech）初創企業Coherent昨宣布，獲得A輪融資1400萬美元（約1.09億港元），資金由跨境風險投資基金凱輝創新基金及富蘭克林鄧普頓提供。	Posted November 11, 2020
1	1	HKbitEX：7號金融牌申領門檻高	http://startupbeat.hkej.com/?p=94950	HKbitEX剛完成約1000萬美元A2輪融資，估值達5000萬美元。至於公司業務，盧廷匡指會以「法幣」（虛擬資產與法定貨幣的交易）和STO（證券代幣發行）為主。	Posted November 9, 2020
2	1	港支付商天使輪籌3900萬 Statrys冀擴大中小企滙款服務	http://startupbeat.hkej.com/?p=94690	數碼支付服務公司Statrys近期完成一筆500萬美元（約3900萬港元）的天使輪投資，新資金有助公司加速開發及推出新產品，在數碼支付及滙款領域持續擴張。	Posted November 3, 2020
3	1	破除數據決策盲點 (車品覺)	http://startupbeat.hkej.com/?p=94669	數據驅動過程極需要業務方的支持與諒解，此時老闆的行為態度起了很大作用，例如Lucy喜歡把產品體驗排行榜放在辦公室門口，讓做得不好的產品總監「遊街」示眾。	Posted November 2, 2020
4	1	洗廁所都有過億身家 (高天佑)	http://startupbeat.hkej.com/?p=94516	誰都知道最好在創辦第一年，就投身阿里、騰訊（00700）、 Facebook或Tesla，不難憑options賺到過億元身家。惟這回事要講命水，畢竟超過八成startup執笠收場，股權價值歸零。	Posted October 29, 2020
5	1	電子貨幣利與弊 (方保僑)	http://startupbeat.hkej.com/?p=94367	數字人民幣也是加密貨幣，由人民銀行發行，所以不具備「去中心化」的特點，銀行反而可追蹤可疑資金流向，打擊洗黑錢或金融詐騙等活動。	Posted October 27, 2020
6	1	馬雲：數字貨幣改寫貨幣定義	http://startupbeat.hkej.com/?p=94334	阿里巴巴（09988）創辦人馬雲上周六在外灘金融峰會發言時提出，數字貨幣一定會重新定義貨幣，就像蘋果手機重新定義手機一樣，打電話只是其中一個功能而已。	Posted October 26, 2020
7	1	難為了螞蟻 (高天佑)	http://startupbeat.hkej.com/?p=94053	人怕出名豬怕肥，食得鹹魚抵得渴。阿里系壯大至目前規模，螞蟻再怎「扮細粒」也難逃針對，若想進化完成「全球史上最大IPO」，要繼續披荊斬棘，抵受明槍暗箭向前衝。	Posted October 19, 2020
8	1	OKEx煞停提虛幣 創始人內地被捕	http://startupbeat.hkej.com/?p=93988	加密貨幣交易平台OKEx突暫停用戶提取貨幣，消息人士指出，正被調查的是OKEx創始人徐明星，並透露他已經多日未有現身，多隻加密貨幣價格出現回吐。	Posted October 17, 2020
9	1	數碼人民幣引領新時代 (車品覺)	http://startupbeat.hkej.com/?p=93905	數碼人民幣是人民銀行背書的法定貨幣，採用了雙層營運體系。用戶在使用時，就如紙幣一樣具有法償性，任何單位和商戶都不能拒收。	Posted October 15, 2020
10	2	看好比特幣明年再創新高	http://startupbeat.hkej.com/?p=93724	在4年前成立Crypto.com的Kris Marszalek已居港17年，他看好比特幣明年再創歷史高位，「儘管香港客戶市場不大，但這裏可發揮金融人才庫的優勢。」	Posted October 12, 2020
11	2	Crypto.com冀成持牌銀行 民生金融結合加密幣 用戶飆至300萬	http://startupbeat.hkej.com/?p=93716	以香港為總部的加密貨幣交易平台Crypto.com，其創辦人兼行政總裁Kris Marszalek稱，公司透過消費支付、貸款、交易的「多頭馬車」業務驅動，未來以成為持牌銀行為目標。	Posted October 12, 2020
12	2	用花唄給女兒過生日 (高天佑)	http://startupbeat.hkej.com/?p=93685	這類廣告的感染力愈強，其「價值觀綁架」效果亦愈顯著。至於一家三口溫馨慶祝生日的廣告，更涉及「情感綁架」和「倫理綁架」，威力更宏大。	Posted October 9, 2020
13	2	虛擬銀行爭霸戰 (方保僑)	http://startupbeat.hkej.com/?p=93557	如果客戶沒有得到什麼優惠，便沒有誘因令他們轉用虛擬銀行服務，況且傳統銀行也不會坐以待斃，眼見虛擬銀行來勢洶洶，會積極推出各項優惠留住舊客戶。	Posted October 7, 2020
14	2	以太坊上季交易撲萬億 受惠去中心化金融 交投飆12倍	http://startupbeat.hkej.com/?p=93480	以太坊（Ethereum）在去中心化金融熱潮推動下，第三季交易量比次季大升12倍，金額達1195億美元（約9321億港元）。	Posted October 6, 2020
15	2	OneDegree寵物險料首年吸單萬張 微調投保要求 貓奴客量激增	http://startupbeat.hkej.com/?p=93475	OneDegree開業至今5個多月，其共同創辦人郭彥麟接受專訪時說，「我哋原本想做寵物保險，市場一直存疑市場到底有幾大，如何做到生意有可持續的業務發展。」	Posted October 5, 2020
16	2	橋彼道藉大數據助電商融資	http://startupbeat.hkej.com/?p=93459	隨着疫情令網購活動更普及，橋彼道聯合創辦人陳盛源表示，對電商前景充滿信心，最新計劃擴展粵港澳大灣區業務、開拓人民幣融資產品。	Posted October 5, 2020
17	2	歐央行啟動數碼貨幣研究 月中諮詢及測試 提升歐羅國際地位	http://startupbeat.hkej.com/?p=93406	歐洲央行周五公布央行數碼貨幣（CBDC）研究文件，計劃推出數碼歐羅貨幣，以輔助現有貨幣體系，推動歐羅區經濟朝數碼化發展，以至提高歐羅國際地位。	Posted October 3, 2020
18	2	空中雲滙獲加碼融資累吸31億	http://startupbeat.hkej.com/?p=93274	全球跨境支付公司Airwallex（空中雲滙）宣布，現有投資方追加4000萬美元（約3.12億港元）D+輪融資，令D輪總融資額達2億美元（約15.6億港元）。新資金將會用於強化亞太區、歐洲及英國據點。	Posted September 30, 2020
19	2	金融科技平民化革命 (陸永)	http://startupbeat.hkej.com/?p=93131	央行肆無忌憚印錢，但通脹遲遲不出現，這個情況在歷史上有點反常。一些經濟學家、投行專家到今時今日亦是這樣認為，究竟目前問題又出現在什麼地方，通脹去哪？通脹要出現，考慮的因素似乎不再是勞動力等因素，而是科技帶來了全球化平民化革命。	Posted September 26, 2020
20	3	虛擬銀行Mox錄1.4萬客戶 8分鐘開戶、研貸款新服務	http://startupbeat.hkej.com/?p=92865	虛擬銀行Mox早前以邀請方式，讓預先登記者開戶及使用服務。Mox行政總裁顧海（Deniz Güven）周二表示，截至周一，該行已錄得1.4萬名客戶，並宣布正式開始服務全港市民。	Posted September 22, 2020
21	3	港大應科院聯手培育FinTech專才	http://startupbeat.hkej.com/?p=92475	香港大學工程學院與香港應用科技研究院周一（14日）簽署諒解備忘錄，通過學界及業界合作，後者將為港大明年新開設的理學碩士課程（金融科技與數據分析）一年級生，提供為期9個月的全職有薪工作機會。	Posted September 16, 2020
22	3	CBDC憂衍生社會監控流弊	http://startupbeat.hkej.com/?p=92105	研發加密貨幣錢包Argent的英國初創Argent Labs，其戰略及營運主管Matthew Wright表示，央行加入研發數碼貨幣，代表各國政府都肯定了數碼貨幣在未來金融體系的價值，但這亦可能衍生更多社會監控情況。	Posted September 7, 2020
23	3	數碼人幣料2022冬奧後港試推 HashKey：商銀主導營運 開戶門檻低	http://startupbeat.hkej.com/?p=92084	萬向區塊鏈兼HashKey集團的首席經濟學家鄒傳偉接受本報專訪，從技術規格、交易應用及資金流通等方向，揭示數碼人民幣的真實面貌，並預料香港可望在2022年冬奧會後納入試點。	Posted September 7, 2020
24	3	數碼幣未威脅電子支付	http://startupbeat.hkej.com/?p=91958	近月內地力推數碼貨幣電子支付，被指有可能削弱電子支付平台地位。「錢方好近」創始人及行政總裁李英豪認為，消費者可以自由選擇不同的支付方式，數碼貨幣會否取代現行的電子錢包，目前言之過早。	Posted September 3, 2020
25	3	錢方好近助商戶開網店 夥Shopify加快零售疫市轉型	http://startupbeat.hkej.com/?p=91937	在疫前主打協助零售商戶，引入不同電子支付方式的金融科企「錢方好近」（QFPay），其創始人及行政總裁李英豪慨嘆，本地零售業界遭受衝擊，作為商戶的合作夥伴，該公司業務難免受影響。	Posted September 3, 2020
26	3	Visa多重支付方案撐本地小店	http://startupbeat.hkej.com/?p=91527	早前一項調查發現，本港市民在消費時，傾向優先支持本地零售商。Visa香港及澳門商戶業務總經理何俊傑表示，Visa將在數碼支付技術、提供商戶優惠等方面，力撐本港經濟復甦。	Posted August 24, 2020
27	3	去中心化金融異軍突起	http://startupbeat.hkej.com/?p=91516	Genesis Block創辦人兼總監洪嘉昊表示，DeFi異軍突起，迅速盛行，成了以太幣（Ether）過去數月急升，以至比特幣（Bitcoin）跟隨上漲的一大推動力。	Posted August 24, 2020
