,,Related confirmed / probable,
District,Building name,,
,,case number,
Wan Chai,Convention Plaza,804,
Wan Chai,"Block A, Elm Tree Tower",805,
Wan Chai,Mognolia Mansion,806,
Central & Western,"Block 8, Hee Wong Terrance",807,
Yuen Long,"5th Street, Section I, Fairview Park",808,
Kwai Tsing,"Seung Lai House, Wah Lai Estate",809,
Sha Tin,"Ming Chuen House, Shui Chuen O Estate",811,
Central & Western,"Block 1, Garden Terrace",812,
Islands,"Tower 10, Caribbean Coast",813,
Sai Kung,Sha Kok Mei Village,814,
Kwai Tsing,"Hong Wo House, Cheung Hong Estate",815,
Sai Kung,"Block 2, Hong Sing Garden",816,
Central & Western,Arezzo,817,
Central & Western,Escapade,818,
Wan Chai,Dorsett Wanchai,819,
Southern,"Ka Kit House, Ka Lung Court",820,
Wan Chai,Novotel Century Hong Kong,821,
Southern,"Block 1, South Wave Court",822,
Central & Western,Yale Lodge,823,
Sai Kung,"Greenpeak Villa, Wong Chuk Shan San Tsuen",824,
Wan Chai,Novotel Century Hong Kong,825,
Central & Western,Ramada Hong Kong Harbour View Hotel,826,
Yau Tsim Mong,"Tower A, Chungking Mansions",827,
Kowloon City,Peak Garden Court,828,
Kowloon City,Peak Garden Court,829,
Wong Tai Sin,"Tower 5, Aria",830,
District,Building name,"Related confirmed / probablecase number",
Central & Western,Lau Kwai Fong Hotel,832,
Tsuen Wan,"Block 2, Hong Kong Garden",833,
Southern,"Tower 14, Hong Kong Parkview",834,
Sai Kung,"Tower 7, Bauhinia Garden",835,
Wan Chai,Resiglow,836,
Wan Chai,Hang Shun Mansions,838,
Yau Tsim Mong,Metropark Hotel Mongkok,839,
Kwun Tong,"Ping Sin House, Ping Tin Estate",840,
Sha Tin,St. Moritz,843,
Kowloon City,35 Station Lane,844,
Yau Tsim Mong,38 Jordan Road,845,
Kwun Tong,"Block 2, Laguna City",846,
Central & Western,Princeton Tower,847,
Kwai Tsing,"Chau Kwai House, Kwai Chung Estate",848,
Wan Chai,292 Lockhart Road,849,
Islands,"Seabird Lane, Discovery Bay",850,
Kowloon City,"Tower 2, One Homantin",851,
Central & Western,Best Western Plus Hotel Hong Kong,852,
Wan Chai,"Block 1, Dragon Centre",853,
Kwun Tong,"Ko Fung House, Ko Cheung Court",854,
